harga_per_luas_area,jumlah_garasi,jumlah_kamar_tidur,jumlah_kamar_mandi,lokasi,luas_bangunan,luas_tanah,tipe_bangunan
877000000.0,1.0,3.0,2.0,mapanget,99.0,185.0,rumah
1250000000.0,1.0,10.0,10.0,mapanget,300.0,1100.0,rumah
20000000000.0,,1.0,,sario,2700.0,1300.0,gudang
15000000000.0,,40.0,40.0,malalayang,2000.0,432.0,rumah
2100000000.0,,3.0,,paal dua,225.0,75.0,ruko
625000000.0,,1.0,2.0,mapanget,147.0,147.0,ruko
499000000.0,,,,wanea,,210.0,tanah
499000000.0,,7.0,,malalayang,100.0,185.0,rumah
1900000000.0,,2.0,,wenang,150.0,83.0,ruko
6800000000.0,,,,wenang,320.0,397.0,ruang usaha
7500000000.0,,3.0,,wenang,180.0,180.0,ruko
7900000.0,,,,tuminting,,30000.0,tanah
12000000000.0,,3.0,,paal dua,1000.0,200.0,ruko
2000000000.0,,3.0,,sario,300.0,100.0,ruko
1200000000.0,,3.0,,sario,140.0,40.0,ruko
1800000000.0,,,,paal dua,162.0,167.0,rumah
2000000000.0,,,,mapanget,80.0,253.0,rumah
1650000000.0,,,,mapanget,80.0,180.0,rumah
12000000.0,,,,malalayang,,2800.0,tanah
6500000000.0,,,,tikala,,806.0,tanah
1500000000.0,,,,singkil,174.0,1200.0,rumah
3000000.0,,,,wanea,,3125.0,tanah
2100000000.0,,2.0,,wenang,239.0,110.0,ruko
1800000000.0,,,,mapanget,236.0,240.0,rumah
1000000.0,,,,mapanget,,12000.0,tanah
1200000.0,,,,mapanget,,900.0,tanah
3000000.0,,,,mapanget,,5900.0,tanah
12500000.0,,,,wenang,,5000.0,tanah
15000000.0,,,,sario,,1250.0,tanah
9000000.0,,,,malalayang,,267.0,tanah
3850000000.0,1.0,4.0,3.0,mapanget,300.0,179.0,rumah
2120000000.0,2.0,3.0,2.0,mapanget,95.0,120.0,rumah
4000000000.0,,4.0,,paal dua,452.0,615.0,ruko
2250000000.0,,2.0,,wenang,220.0,110.0,ruko
4500000000.0,,,,sario,,450.0,tanah
4000000.0,,,,mapanget,,4191.0,tanah
850000000.0,,,,wanea,,160.0,tanah
22000000000.0,,15.0,1.0,wenang,2080.0,1022.0,ruang usaha
12500000.0,,,,wenang,,5000.0,tanah
